title,company,location,salary,tech_tags,requirements,source,job_url
"AI智能运维开发工程师（校招）","Castbox","北京朝阳区秦淮数据集团中国总部望京诚盈中心","13-25K·14薪","Python; TensorFlow; Distributed Machine Learning; Edge Computing; AI; Machine Learning","Entry-level role requiring proficiency in Python and TensorFlow, with experience in distributed machine learning and edge computing preferred, focusing on developing AI models for IDC operations and data analysis platforms.","Boss直聘","https://www.zhipin.com/job_detail/0048f8cc606d2c3a0nV53d64E1NV.html"
"LLM应用工程师","某知名互联网上市公司","杭州西湖区华星时代广场A座1701","20-40K","LLM; NLP; Lora; LLaMA; Python; TensorFlow; PyTorch; CV; VITS; AGI; AIGC","Entry-level role requiring experience in NLP model training and deployment, LLM fine-tuning (e.g., Lora with LLaMA), large-scale text data processing, proficiency in Python and ML frameworks on Linux, and knowledge of prompt engineering and machine learning basics.","Boss直聘","https://www.zhipin.com/job_detail/08dece8bbc28ab1b1Xx_0ti_EFVR.html"
"AI工程师（25届可投）","上海柏楚","上海浦东新区上海环球金融中心B栋","15-20K","AI; Machine Learning; NLP; PyTorch; TensorFlow; SQL; pandas; numpy; Linux; 大模型微调; 多模态模型; 数字人开发; ChatGPT; GLM","Entry-level AI engineering role requiring foundational knowledge in AI, machine learning, NLP, and experience with PyTorch, TensorFlow, SQL, and Linux, along with project experience in large model fine-tuning, multimodal models, and digital human development.","Boss直聘","https://www.zhipin.com/job_detail/0957b7f90ff802f50nRy2N66FFJT.html"
"智能AI工程师（如皋长江镇）","途家网","南通如皋市车马湖医院对面冠洲国际","10-15K","AI; Machine Learning; ERP","Entry-level AI engineering role requiring foundational knowledge in AI, programming, and ERP system architecture, targeting recent graduates from 985/211 universities.","Boss直聘","https://www.zhipin.com/job_detail/14c45f2426efae6303B92t66ElFT.html"
"AI大模型应用高级工程师","字节跳动","深圳龙岗区华为天安云谷办公区深圳坂田华为基地或者天安云谷","30-60K·18薪","LLM; AI Agent; 多模态; 文本; 语音语义; 图像; 搜索; 推荐; Python; Java; C++","Entry-level role requiring participation in AI large model application design and development for MetaERP products, with skills in programming (Python/Java/C++), AI algorithms, model training, optimization, and deployment.","Boss直聘","https://www.zhipin.com/job_detail/1d71334d8f78a4000nV43N20EFZU.html"
"AI工程师 AI Engineer（全国）(J10104)","中海达","广州黄埔区广州虹科电子科技有限公司广州市黄埔区开泰大道30号佳都PCI科技园6号楼1-7层","15-25K","AI; Machine Learning; Deep Learning; Python; TensorFlow; PyTorch; NLP; Generative AI; Node.js; React; Vue; Pandas; NumPy","Entry-level AI engineering role requiring foundational knowledge in machine learning, deep learning, and software development, with skills in Python, AI frameworks, and data processing tools, targeting 2026 graduates.","Boss直聘","https://www.zhipin.com/job_detail/290f52c03b89ba83031z3dq_FFZY.html"
"AI工程师（应届/实习）","广州新知点教育科技","广州天河区广州澳盾智能科技有限公司35号03栋B座八楼","2-4K","Machine Learning; Natural Language Processing; Deep Learning","Entry-level AI engineering role requiring ability to build machine learning frameworks and models, with skills in natural language processing and deep learning, and a strong interest in AI development.","Boss直聘","https://www.zhipin.com/job_detail/340e5798c7a004221nJy2Nq_FlRX.html"
"AI助理工程师（AI应用）","虚廓互娱","赣州章贡区江西优优合纵网络科技有限公司7楼人力资源部","6-11K","AI; Machine Learning; Data Processing; Data Analysis","Entry-level AI application role requiring a bachelor's degree in AI from specified universities, with AI-related experience as a plus.","Boss直聘","https://www.zhipin.com/job_detail/35ccddd2a97f59830nR909y7E1pR.html"
"AI 工程师（应届生 / 校招生/实习生）","华为","成都武侯区领地环球金融中心A座808","10-15K","AI; Machine Learning; LLM; AI Tools; Python; JavaScript; Java; Go","Entry-level AI engineering role requiring foundational knowledge in programming, data structures, and interest in AI/LLM technologies, with experience using AI coding tools like Cursor, CodeX, Claude, or Copilot.","Boss直聘","https://www.zhipin.com/job_detail/379d32b049aa37420nR439u-GFpQ.html"
"ai实习工程师","霞智科技","南京鼓楼区苏宁慧谷E081808-1809","8-10K","AI; Agent; OpenClaw; Automation; Machine Learning","Entry-level AI engineering role requiring foundational software development skills, experience with Agent tools like OpenClaw, and strong interest in AI models and automation.","Boss直聘","https://www.zhipin.com/job_detail/3858c905a85b103e0nV939W8ElNR.html"
"AI智能体工程师-可实习/双休/13薪coze/dify","海隆软件","南京建邺区龙湖时代上城龙湖时代上城1幢28楼","7-10K·13薪","AI Agent; Coze; Dify; FastAPI; PyTorch; LangChain; Python; Java; TypeScript; React; Vue; MySQL; PostgreSQL; Redis; MinIO; Milvus; Weaviate; RAG; LLM; MLLM; TTS; ASR; vLLM; TensorRT-LLM; LoRA; QLoRA; Transformer; MCP","Entry-level AI Agent engineering role requiring skills in AI development platforms, Python/Java backend, TypeScript/React/Vue frontend, databases, RAG systems, LLM APIs, and model deployment with opportunities for interns or recent graduates.","Boss直聘","https://www.zhipin.com/job_detail/3915428ee5039dea0nVz2ty5ElJX.html"
"【26届校招】AI工程师","丰疆智能","南京雨花台区华为南京研究所南研所","15-30K·14薪","TensorFlow; PyTorch; Caffe; MindSpore; scikit-learn; xgboost; LLM; Generative AI; Computer Vision; Machine Learning; Neural Networks; ROS; Linux; Python; C++; Java; Rust","Entry-level AI engineering role requiring a computer or AI-related degree, experience in large software projects, proficiency in programming languages like Python or C++, familiarity with deep learning frameworks, and knowledge in areas such as computer vision, machine learning, or LLMs.","Boss直聘","https://www.zhipin.com/job_detail/3ec52bdc99127c1803Jy2tu4GVpW.html"
"LLM Agent/MCP算法工程师","广东天机智能","上海徐汇区上海漕河泾北杨人工智能小镇项目部2号楼","23-45K·15薪","LLM; Agentic AI; 多模态交互; Pytorch; Tensorflow; 深度学习; 后训练; 智能体算法","Entry-level role requiring a degree in math, computer science, or related fields, strong coding skills in deep learning frameworks like PyTorch/TensorFlow, familiarity with LLM post-training and agentic AI algorithms, and good teamwork and communication abilities.","Boss直聘","https://www.zhipin.com/job_detail/4e31832c782abd2f03x52tu4GVtX.html"
"大语言模型（LLM）算法工程师","中控技术","杭州余杭区阿里巴巴西溪A区7号楼","18-35K·16薪","LLM; SFT; RLHF; DPO; NLP; CV; Machine Learning; Python; Java; C++","Entry-level AI/ML engineering role requiring foundational knowledge in machine learning, programming, and algorithms, with a focus on LLM optimization and research in NLP, CV, or related fields.","Boss直聘","https://www.zhipin.com/job_detail/52f920514f024f3003170tm7F1dV.html"
"阿里云网络智能化研发工程师（LLM&大数据）","京东世纪贸易有限公司","北京朝阳区阿里巴巴·北京朝阳科技园C区无","30-60K","LLM; RAG; ReAct; SFT; LoRA; RLHF; Java; Redis; Kafka; RocketMQ; Storm; Spark; Flink","Entry-level role for 2027 graduates, requiring proficiency in Java, distributed systems, and AI skills like LLM fine-tuning, RAG, and Agent development for network intelligence applications.","Boss直聘","https://www.zhipin.com/job_detail/5c3e21443ab4f2180nVz29q_EVFR.html"
"AI平台后端研发工程师-26届校招(A229344)","上海从鲸信息技术","上海长宁区爱奇艺创新大厦2F","20-30K·14薪","AI; AIGC; LLM; RAG; Java; Python; Machine Learning","Entry-level AI engineering role requiring proficiency in Java or Python, experience with backend systems, and involvement in AI service development and AIGC platform work.","Boss直聘","https://www.zhipin.com/job_detail/5cfee945755159df0nR43t64GFFT.html"
"AI产品研发工程师【实习生】","明湖科技","昆明五华区五华科创大厦云南数派数据科技有限公司","8-13K","AI; LLMs; LangChain; GPT; Claude; MidJourney; Cursor; RAG; Python; Java; Node.js; Docker; K8s","Entry-level AI engineering role requiring proficiency in AI tools like GPT, Claude, and Cursor for full-stack development, with skills in programming languages such as Python, Java, or Node.js, and knowledge of containerization technologies.","Boss直聘","https://www.zhipin.com/job_detail/61994bf7bc0393bf0nV50tq1EFRY.html"
"【26校招】AI开发工程师","芯德科技","广州海珠区铭丰广场A区","10-12K·13薪","AI; Java; React; Vue; MCP; AI Agent; Docker; K8s; CI/CD; RAG; 向量数据库; Milvus; Pinecone","Entry-level AI development role for 2026 graduates, requiring proficiency in Java and frontend frameworks, knowledge of AI Agent and MCP technologies, and experience with software development lifecycle and AI tools like Docker and RAG.","Boss直聘","https://www.zhipin.com/job_detail/63eb58a10530e2920nV52NW7GFJV.html"
"AI多模态大模型研发工程师（可无经验培养）","微杨科技","上海浦东新区陆家嘴滨江中心T1座1","12-24K·15薪","NLP; 大模型; Linux; Java; Python; Node.js; RESTful API; 数据库; 消息队列","Entry-level AI/ML engineering role requiring foundational knowledge in machine learning, software development, and backend technologies, with a focus on large models and NLP.","Boss直聘","https://www.zhipin.com/job_detail/668907cccb9094100nVy39y8EVRQ.html"
"ai开发实习工程师","绵阳市阳扬科技有限公司","绵阳涪城区西南科技大学国家大学科技园(城南)A座304","1-2K","AI; Machine Learning; Codex; MCP","Entry-level AI development role requiring knowledge of Codex or similar AI models, participation in AI project development, algorithm testing and optimization, and strong communication and teamwork skills.","Boss直聘","https://www.zhipin.com/job_detail/6973fa0f4b64daab0nV63N67EFZX.html"
"2026校招-端侧AI工程师","曙创大能","成都武侯区中国太平金融大厦14楼","12-20K·14薪","Pytorch; Tensorflow; Caffe; Python; C语言; Linux; 容器技术; 边缘计算; AI模型部署; GPU; NPU; 模型压缩; 量化; 蒸馏; 剪枝","Entry-level AI engineering role requiring knowledge in deep learning frameworks (e.g., PyTorch, TensorFlow), Python and C programming, Linux development, and experience with AI model deployment and optimization on edge hardware platforms like Nvidia Jetson or Qualcomm.","Boss直聘","https://www.zhipin.com/job_detail/6d6b2b07ed78c7950nRz2Nu5GVZY.html"
"需实习 27届 AI Agent 应用开发工程师校招","未来光谱科技","杭州余杭区阿里巴巴西溪A区文一西路969号","30-35K·15薪","AI Agent; LLM; AI; Machine Learning","Entry-level AI Agent application development role requiring foundational knowledge in AI, machine learning, and software development for building AI tools in e-commerce.","Boss直聘","https://www.zhipin.com/job_detail/770879baac051e8f0nVy0ti4F1ZU.html"
"人工智能技术实习岗","星辰大海教育","南宁青秀区地王大厦701","3-5K","LLM; AI算法; Linux; 虚拟化; RAID5; MOE; COE; COT; BEV; OCC; SIPI; EMC&EMI","Entry-level AI engineering internship requiring foundational knowledge in AI server debugging, LLM deployment, algorithm optimization, and cluster tuning, with a focus on hardware and software skills including CPU/GPU, Linux, and chip design.","Boss直聘","https://www.zhipin.com/job_detail/7948e028007ca18f03152dW4FFJU.html"
"AI工程师（华为校招）","华为技术有限公司","西安雁塔区华为西安研究所v5","15-25K·16薪","AI; Machine Learning; Neural Networks; Computer Vision; Autonomous Driving; Path Planning; Intelligent Decision; Recommendation Systems; Large Models; Generative AI; TensorFlow; scikit-learn; xgboost; Caffe; MindSpore; PyTorch; Linux; ROS; C++; Java; Python; Rust","Entry-level AI engineering role requiring a computer or AI-related degree, proficiency in programming languages like C++/Java/Python/Rust, experience with deep learning frameworks such as TensorFlow/PyTorch, and knowledge in areas like neural networks, computer vision, or machine learning algorithms.","Boss直聘","https://www.zhipin.com/job_detail/7951de525369ed2503F_0t-8FVtU.html"
"AI Agent开发工程师（2026校招）","多益网络","武汉江夏区武汉风行在线技术有限公司光谷智慧园17栋风行大楼","11-22K·15薪","AI Agent; Cursor; Dify; n8n; Python; AIGC; Prompt; LangGPT","Entry-level AI Agent development role requiring foundational knowledge in AI tools, Python development, prompt engineering, and AIGC technologies, with a focus on building and iterating AI agents and automation workflows.","Boss直聘","https://www.zhipin.com/job_detail/79d552a40ed4a8860nVz2928E1JR.html"
"AI工程师助理","烨泰达","深圳龙华区正欣科技工业园A栋","5-7K","AI; Machine Learning; Python; SQL; JavaScript; CSS; HTML; Linux","Entry-level AI engineering role requiring foundational knowledge in AI systems, data processing, and software tools, with a focus on data annotation, documentation, and cross-departmental communication.","Boss直聘","https://www.zhipin.com/job_detail/7a3b85c2a1790b370nV_09u6EFFS.html"
"AI工程师（Agent方向）（秋招岗）","金山办公软件","珠海香洲区清华科技园-4号楼清华科技园4号楼705","25-30K","LLM; RAG; 分布式; LangChain; Dify; Autogen; Python; Java; Prompt Engineering; Function Call; MCP","Entry-level AI engineering role focusing on Agent development, requiring proficiency in Python/Java, experience with LLM, RAG, and Agent frameworks like LangChain, and strong foundational skills in computer science and algorithms.","Boss直聘","https://www.zhipin.com/job_detail/828fac22d217abae03153N2_EFpZ.html"
"2026 届校招・AI 应用工程师","中材智科","南京栖霞区南京紫东国际创意园C8-2","10-15K·13薪","AI; OpenAI; OpenCLAW; AI Agent; Machine Learning","Entry-level AI application engineering role requiring foundational knowledge in AI tools and agents, strong learning ability, and collaboration skills for deploying AI solutions in business scenarios.","Boss直聘","https://www.zhipin.com/job_detail/855e4ad7c8bb413e0nVz29q9EFRU.html"
"AI应用工程师实习生","亿佳科技","北京海淀区盈都大厦C座盈都大厦C座四单元3B","3-6K","AI; LLM; RAG; Python; Java; Dify; Coze; Langchain; LlamaIndex; Claude code; Cursor; Windsurf; GPT Codex; Kiro; SFT; RL","Entry-level AI application engineering role requiring foundational knowledge in AI technologies, programming in Java and Python, use of low-code platforms like Dify/Coze, RAG knowledge bases, prompt engineering, and frameworks such as Langchain and LlamaIndex, with a focus on AI project development and deployment.","Boss直聘","https://www.zhipin.com/job_detail/8c12bcc832fda83e0nVy0t21FlBU.html"
"AI工程师（实习生）","理声士","东莞华为溪流背坡村M区","6-7K","AI; Machine Learning","Entry-level AI engineering role requiring participation in AI project design and development, assistance with algorithm model implementation and optimization, and support for technical solution research and validation.","Boss直聘","https://www.zhipin.com/job_detail/8f8a52aeeb67910f0nV72dm_ElRV.html"
"助理AI工程师","东莞凯格","东莞东莞市达瑞电子股份有限公司(总部)001","9-12K·13薪","AI; Machine Learning; Computer Vision","本科及以上学历，计算机、视觉、AI、人工智能、统计学相关专业；机器视觉方向，对AI项目感兴趣以及有相关实习、竞赛经验。","Boss直聘","https://www.zhipin.com/job_detail/9202349a0d0f079e0nVz2tS9GVdX.html"
"AI大模型研发工程师-26届校招 (MJ000357)","EDA国创中心","南京江宁区银城INC中心1号楼8-12层","13-20K·14薪","LLM; Python; FastAPI; Flask; langchain; dify; fastGPT; Redis; MQ; MySQL; Qdrant; Weaviate; Zilliz","Entry-level AI/ML engineering role requiring foundational knowledge in large language models, Python programming, web frameworks, and vector databases for AI application development.","Boss直聘","https://www.zhipin.com/job_detail/92b742e5ae08071b0nZ62929F1ZW.html"
"ai工程师（实习）","成都三秋科技","成都武侯区商鼎国际1号楼A座2008","3-5K·13薪","LLM; RAG; Python; Go; PyTorch; TensorFlow; Docker; Kubernetes; langchain; dify; coze; fastgpt","Entry-level AI engineering role focusing on LLM-based agent architecture, RAG, and deployment, requiring knowledge in Python/Go, deep learning frameworks, and container technologies.","Boss直聘","https://www.zhipin.com/job_detail/966e6348022af66903Ny3dq6FlZV.html"
"AI工程师（26届可投）","凡岛","重庆渝中区环球金融中心写字楼a","15-20K","AI; Machine Learning; NLP; PyTorch; TensorFlow; SQL; pandas; numpy; Linux; 大模型微调; 多模态模型; 数字人开发; ChatGPT; GLM","Entry-level AI engineering role requiring foundational knowledge in AI, machine learning, NLP, and experience with PyTorch, TensorFlow, SQL, and Linux, along with project experience in large model fine-tuning, multimodal models, and digital human development.","Boss直聘","https://www.zhipin.com/job_detail/9dac526a9db45d540nR_29S-FlpU.html"
"AI工程师","多益网络","广州黄埔区保利·鱼珠港G1","12-16K·13薪","NLP; LLM; AI MaaS; AI中台; 自动化机器学习平台","Entry-level AI engineering role requiring foundational knowledge in AI technologies, including NLP and large language models, with responsibilities in AI platform development and solution implementation.","Boss直聘","https://www.zhipin.com/job_detail/ad497c1cbb1912210nVz0t65E1ZY.html"
"AI 工程师","北京微奇点科技有限公司","温州瓯海区天润大厦10B06","5-7K","AI; OpenAI API; Gemini API; Cursor; Python; HTML5; JavaScript","Entry-level AI engineering role requiring foundational knowledge in AI, Python, HTML5, JavaScript, and experience with OpenAI API, Gemini API, and Cursor for AI product development and problem-solving.","Boss直聘","https://www.zhipin.com/job_detail/b2f0ee49fa4c564203B42N-_GFVZ.html"
"AI工程师（应届生）","北京诺亦腾机器人科技","深圳南山区华润置地大厦D座05","15-30K","AI; Agent; RAG; Function Calling; Tools; Jira; Salesforce; GitHub; ERP; Slack; Teams; Self-correction loops; Multi-step reasoning; Automated testing","Entry-level AI engineering role requiring AI-related project experience or solid AI knowledge, strong self-learning ability, and a background in science or engineering, with a preference for PhD candidates.","Boss直聘","https://www.zhipin.com/job_detail/b4733e72e33e65720nV4392-EFNZ.html"
"【居家办公】AI大模型实习生","江苏翼企云","南京雨花台区南京软件谷科创城远程办公","4-5K","LLM; RAG; Prompt Engineering; OpenAI; Java","Entry-level AI/ML engineering role requiring foundational knowledge in machine learning, programming in Java, and experience with large language models and RAG systems for AI recruitment applications.","Boss直聘","https://www.zhipin.com/job_detail/ba86e5ab572de2750nVz2920GFtU.html"
"校招-AI应用工程师","契约锁","上海浦东新区世博天地写字楼T1-11F","12-20K·15薪","AI; Machine Learning; LLM; Python; Golang; Java; C++; Agent; Copilot; Prompt Engineering; Vector Database; Milvus; Pinecone; Knowledge Graph; API; AWS; Azure; 阿里云","Entry-level AI application engineering role requiring a degree in computer science or related fields, proficiency in programming languages like Python, and foundational knowledge in AI/ML, LLM fine-tuning, and cloud services.","Boss直聘","https://www.zhipin.com/job_detail/be29d45b41cf8dfa03N_09i9ElFV.html"
"26校招-AI应用工程师","华为","北京昌平区好未来大楼三层","20-26K·14薪","AI; Machine Learning; Computer Vision; Natural Language Processing; TensorFlow; PyTorch; Python; Java; C++; Distributed Computing; Model Compression","Entry-level AI application engineering role requiring foundational knowledge in AI algorithms, proficiency in Python/Java/C++ and TensorFlow/PyTorch, and experience in computer vision or natural language processing.","Boss直聘","https://www.zhipin.com/job_detail/cbc2fb666135964b0nR93Nm_FFdZ.html"
"校招- AI 网络通信研发工程师","华为","南京建邺区国秀广场-5栋B303","15-30K·15薪","AI; NCCL; MPI; PyTorch; TensorFlow; RDMA; RoCE; InfiniBand; Linux; C++; Go","Entry-level role requiring foundational knowledge in AI collective communication libraries, operating systems, and network protocols, with skills in C/C++/Go programming and experience in distributed training or high-performance computing.","Boss直聘","https://www.zhipin.com/job_detail/d35f5867b335d6570nV-2924GVVR.html"
"蚂蚁AI工程师2027校招【北京】","第四范式","北京海淀区蚂蚁T空间14层","28-55K·15薪","AI; LLM; RAG; AI Agent; MCP; Skill; CodeFuse","Entry-level AI engineering role for 2027 graduates, focusing on applying AI and large models to develop tools like AI Agents and RAG systems for software development, requiring foundational knowledge in AI and software engineering.","Boss直聘","https://www.zhipin.com/job_detail/d8f149f5a0c7b41f0nZ629S5EVpR.html"
"实习AI工程师","公司名称五六零人工智能科技（北海）有限公司","北海海城区北海银河城市科技产业城704","2-3K","AI; Machine Learning; LLM; NLP; CV; Docker; Python; GitHub","Entry-level AI engineering role requiring foundational knowledge in AI technologies, including large models, AI painting, and AI voice, with a focus on learning and applying skills in real-world projects under guidance.","Boss直聘","https://www.zhipin.com/job_detail/dad7d7aebfb9e4040nVz3dW5F1FU.html"
"多模态大模型算法工程师-26届校招补录","美团","北京朝阳区亚洲金融大厦e座","25-40K·15薪","多模态; 大模型; 计算机视觉; AIGC; 深度学习; 机器学习; Python; C++; C; Linux","Entry-level role requiring a master's degree or higher, strong mathematical foundation, knowledge in computer vision, AIGC, multimodal, and deep learning, proficiency in programming languages like Python, C++, or C, and experience with large models or research publications is preferred.","Boss直聘","https://www.zhipin.com/job_detail/dc1293f99a8811f50nRz09y8EVtT.html"
"（青岛双休）AI工程师","青岛恒智信科信息科技","青岛市南区华通中联云芯产业园延安三路109号","8-13K","Python; AI; Machine Learning; Deep Learning; NLP; CV; Agent; MCP; MySQL; MongoDB; Linux","Entry-level AI engineering role requiring foundational knowledge in Python, data structures, algorithms, and databases, with preference for AI/ML project experience in NLP, CV, or Agent development.","Boss直聘","https://www.zhipin.com/job_detail/df68631ea22ef21f0nR90t67EFJV.html"
"2026届校招-AI算法工程师（北京）(J14532)","华为技术有限公司","北京海淀区颐泉汇B座A","23-26K·14薪","AI; Machine Learning; Python; TensorFlow; PyTorch; Scikit-learn; Neural Networks; NLP; LLM; Prompt Tuning","Entry-level AI algorithm engineering role requiring 2026 graduate in computer science or related fields, proficiency in Python and machine learning frameworks, deep understanding of machine learning, neural networks, and NLP, with knowledge of large language models and prompt tuning.","Boss直聘","https://www.zhipin.com/job_detail/e3c02787b7573a9803x-2dm-ElpU.html"
"AI 应用工程师（校招）","湖南设计","长沙望城区安克虚拟数字影棚2层","10-12K","AI; Machine Learning; Deep Learning; 具身智能; 大模型应用; 训练自动化; AIGC; 三维可视化","Entry-level AI application engineering role requiring foundational knowledge in machine learning, deep learning algorithms, programming skills, and interest in AI frameworks, with a focus on 3D visualization and AI integration for recent graduates.","Boss直聘","https://www.zhipin.com/job_detail/e66c6c85a3562ab10nVz0t6_GFZR.html"
"算法工程师（LLM方向）（秋招岗）","金山办公软件","珠海香洲区清华科技园-4号楼清华科技园4号楼705","25-30K","LLM; NLP; PyTorch; TensorFlow; Megatron-LM; DeepSpeed; Transformer; SFT; RLHF; LoRA; Prefix-Tuning; TensorRT; ONNXRuntime; vLLM; SGLang","Entry-level role requiring a bachelor's or higher in computer science or related fields, with deep understanding of LLM development, including SFT, RLHF, and proficiency in PyTorch, TensorFlow, and distributed training tools.","Boss直聘","https://www.zhipin.com/job_detail/f497b0236eb0b1c503153N29GVZT.html"
"软件工程师-校招岗","华为","南京浦口区光电科技园A栋","16-25K·15薪","C++; MATLAB; Python; C#; STL; MFC; Git; 深度学习; GPU异构计算; 数字信号处理; 三维图像; 光学算法","Entry-level AI/ML engineering role requiring a master's degree in relevant fields, strong mathematical and programming skills in C++, Python, and others, with experience in algorithm optimization, deep learning, and GPU computing preferred.","Boss直聘","https://www.zhipin.com/job_detail/f5eb642ddcbabefd1HV829u-GVVY.html"
"可转正实习-AI工程师","北京中普友通","北京朝阳区中海国际中心A座","11-14K","Python; SQL; n8n; dify; fastgpt; coze; autogen; AI; Machine Learning","Entry-level AI engineering role requiring proficiency in Python and SQL, experience with low-code AI workflow platforms like n8n and dify, and knowledge of AI applications and frameworks such as autogen.","Boss直聘","https://www.zhipin.com/job_detail/fa13bb551f65e7c3031709q-EVNU.html"